L.p.,Identyfikator,Nr działki,Jednostka ewidencyjna,Obręb,Powierzchnia ewidencyjna,Klasoużytki,Adres,Granica sporna?,Teren zamknięty?,Rejestr zabytków,Zmodyfikował(a)
260,220502_4.0001.12/18,12/18,Kartuzy - M,1,0.066,Br-RIVb 0.0660,ul. Łąkowa 31,Nie,Nie,,DANE OSOBOWE
261,220502_4.0001.67/5,67/5,Kartuzy - M,1,0.0519,Br-RIVb 0.0519,ul. Prokowska 5,Nie,Nie,,DANE OSOBOWE
262,220502_4.0001.81/10,81/10,Kartuzy - M,1,0.0065,Br-RIVb 0.0028; Br-PsVI 0.0037,,Nie,Nie,,DANE OSOBOWE
263,220502_4.0001.81/3,81/3,Kartuzy - M,1,0.0474,Br-RIVb 0.0474,,Nie,Nie,,DANE OSOBOWE
264,220502_4.0001.90/6,90/6,Kartuzy - M,1,0.038,Br-RIVb 0.0380,ul. Prokowska 8B,Nie,Nie,,DANE OSOBOWE
265,220502_4.0001.84/6,84/6,Kartuzy - M,1,0.0273,Br-RIVb 0.0273,ul. Bohaterów Westerplatte 42,Nie,Nie,,DANE OSOBOWE
266,220502_4.0001.23,23,Kartuzy - M,1,0.0608,Br-RV 0.0608,ul. Podgórna 5,Nie,Nie,,DANE OSOBOWE
267,220502_4.0001.33,33,Kartuzy - M,1,0.0777,Br-RIVb 0.0777,,Nie,Nie,,DANE OSOBOWE
268,220502_4.0001.7/21,7/21,Kartuzy - M,1,0.0521,Br-RIVb 0.0521,ul. Łąkowa 42,Nie,Nie,,DANE OSOBOWE
269,220502_4.0001.7/22,7/22,Kartuzy - M,1,0.0521,Br-RIVb 0.0521,ul. Łąkowa 44,Nie,Nie,,DANE OSOBOWE
270,220502_4.0001.7/9,7/9,Kartuzy - M,1,0.0473,Br-RIVb 0.0473,ul. Łąkowa 57,Nie,Nie,,DANE OSOBOWE
271,220502_4.0001.17/1,17/1,Kartuzy - M,1,0.0202,Br-RV 0.0202,ul. Wzgórze Wolności 20,Nie,Nie,,DANE OSOBOWE
272,220502_4.0001.66/3,66/3,Kartuzy - M,1,0.062,Br-RIVb 0.0620,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
273,220502_4.0001.166,166,Kartuzy - M,1,0.0484,Br-RIVb 0.0484,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
274,220502_4.0001.148/1,148/1,Kartuzy - M,1,0.051,Br-RIVb 0.0510,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
275,220502_4.0001.15/8,15/8,Kartuzy - M,1,0.0509,Br-PsIV 0.0509,,Nie,Nie,,DANE OSOBOWE
276,220502_4.0001.12/33,12/33,Kartuzy - M,1,0.0431,Br-RIVb 0.0431,ul. Łąkowa,Nie,Nie,,DANE OSOBOWE
277,220502_4.0001.12/35,12/35,Kartuzy - M,1,0.0418,Br-RIVb 0.0418,ul. Łąkowa 18,Nie,Nie,,DANE OSOBOWE
278,220502_4.0001.15/10,15/10,Kartuzy - M,1,0.0737,Br-PsIV 0.0737,,Nie,Nie,,DANE OSOBOWE
279,220502_4.0001.12/36,12/36,Kartuzy - M,1,0.041,Br-RIVb 0.0410,ul. Łąkowa 20,Nie,Nie,,DANE OSOBOWE
280,220502_4.0001.29,29,Kartuzy - M,1,0.0716,Br-RIVb 0.0716,ul. Podgórna 13,Nie,Nie,,DANE OSOBOWE
281,220502_4.0001.150/2,150/2,Kartuzy - M,1,0.0303,Br-RIVb 0.0303,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
282,220502_4.0001.150/1,150/1,Kartuzy - M,1,0.0095,Br-RIVb 0.0095,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
283,220502_4.0001.81/8,81/8,Kartuzy - M,1,0.0704,Br-RIVb 0.0128; Br-PsVI 0.0576,ul. Bohaterów Westerplatte 54,Nie,Nie,,DANE OSOBOWE
284,220502_4.0001.12/4,12/4,Kartuzy - M,1,0.0702,Br-RIVb 0.0702,ul. Łąkowa 3,Nie,Nie,,DANE OSOBOWE
285,220502_4.0001.78/5,78/5,Kartuzy - M,1,0.0736,Br-RIVb 0.0485; Br-PsVI 0.0251,ul. Krasickiego 8,Nie,Nie,,DANE OSOBOWE
286,220502_4.0001.40/1,40/1,Kartuzy - M,1,0.0476,Br-RIVb 0.0476,ul. Podgórna,Nie,Nie,,DANE OSOBOWE
287,220502_4.0001.36,36,Kartuzy - M,1,0.0849,Br-RIVb 0.0849,"ul. Podgórna, ul. Podgórna 24A",Nie,Nie,,DANE OSOBOWE
288,220502_4.0001.25,25,Kartuzy - M,1,0.0519,Br-PsV 0.0519,ul. Podgórna,Nie,Nie,,DANE OSOBOWE
289,220502_4.0001.12/83,12/83,Kartuzy - M,1,0.0071,Br-RIVb 0.0071,ul. Prokowska 21,Nie,Nie,,DANE OSOBOWE
290,220502_4.0001.95/4,95/4,Kartuzy - M,1,0.0682,Br-RIVb 0.0682,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
291,220502_4.0001.12/31,12/31,Kartuzy - M,1,0.0446,Br-RIVb 0.0446,ul. Łąkowa,Nie,Nie,,DANE OSOBOWE
292,220502_4.0001.61/5,61/5,Kartuzy - M,1,0.0615,Br-RIVb 0.0615,ul. Wzgórze Wolności 8,Nie,Nie,,DANE OSOBOWE
293,220502_4.0001.85/3,85/3,Kartuzy - M,1,0.12,Br-RIVb 0.12,ul. Łąkowa 83,Nie,Nie,,DANE OSOBOWE
294,220502_4.0001.78/3,78/3,Kartuzy - M,1,0.0864,Br-RIVb 0.0557; Br-PsVI 0.0307,ul. Krasickiego,Nie,Nie,,DANE OSOBOWE
295,220502_4.0001.12/60,12/60,Kartuzy - M,1,0.0627,Br-RIVb 0.0627,ul. Podgórna 28,Nie,Nie,,DANE OSOBOWE
296,220502_4.0001.19,19,Kartuzy - M,1,0.0975,Br-RV 0.0975,ul. Podgórna,Nie,Nie,,DANE OSOBOWE
297,220502_4.0001.49,49,Kartuzy - M,1,0.0499,Br-PsV 0.0499,ul. Podgórna,Nie,Nie,,DANE OSOBOWE
298,220502_4.0001.87/1,87/1,Kartuzy - M,1,0.0013,Br-RIVb 0.0013,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
299,220502_4.0001.14/23,14/23,Kartuzy - M,1,0.1206,Br-ŁV 0.1206,,Nie,Nie,,DANE OSOBOWE
300,220502_4.0001.12/88,12/88,Kartuzy - M,1,0.0054,Br-RIVb 0.0054,,Nie,Nie,,DANE OSOBOWE
301,220502_4.0001.125,125,Kartuzy - M,1,0.107,Br-RIVb 0.1070,ul. Klasztorna 16,Nie,Nie,,DANE OSOBOWE
302,220502_4.0001.38/2,38/2,Kartuzy - M,1,0.047,Br-RIVb 0.0470,ul. Podgórna,Nie,Nie,,DANE OSOBOWE
303,220502_4.0001.78/6,78/6,Kartuzy - M,1,0.0755,Br-RIVb 0.0755,ul. Krasickiego,Nie,Nie,,DANE OSOBOWE
304,220502_4.0001.156,156,Kartuzy - M,1,0.0462,Br-RIVb 0.0462,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
305,220502_4.0001.83/6,83/6,Kartuzy - M,1,0.0602,Br-RIVb 0.0602,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
306,220502_4.0001.157,157,Kartuzy - M,1,0.0465,Br-RIVb 0.0465,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
307,220502_4.0001.61/8,61/8,Kartuzy - M,1,0.0666,Br-RIVb 0.0666,ul. Wzgórze Wolności 10,Nie,Nie,,DANE OSOBOWE
308,220502_4.0001.84/1,84/1,Kartuzy - M,1,0.0766,Br-RIVb 0.0766,ul. Prokowska 18,Nie,Nie,,DANE OSOBOWE
309,220502_4.0001.12/17,12/17,Kartuzy - M,1,0.0655,Br-RIVb 0.0655,ul. Łąkowa 29,Nie,Nie,,DANE OSOBOWE
310,220502_4.0001.90/5,90/5,Kartuzy - M,1,0.0364,Br-RIVb 0.0364,ul. Prokowska 8B,Nie,Nie,,DANE OSOBOWE
311,220502_4.0001.12/58,12/58,Kartuzy - M,1,0.0596,Br-ŁV 0.0596,ul. Podgórna,Nie,Nie,,DANE OSOBOWE
312,220502_4.0001.87/2,87/2,Kartuzy - M,1,0.0712,Br-RIVb 0.0712,ul. Prokowska 16,Nie,Nie,,DANE OSOBOWE
313,220502_4.0001.8/11,8/11,Kartuzy - M,1,0.1961,PsIV 0.0065; Br-RIVb 0.1865; N 0.0031,ul. Krasickiego,Nie,Nie,,DANE OSOBOWE
314,220502_4.0001.87/5,87/5,Kartuzy - M,1,0.036,Br-RIVb 0.0360,ul. Bohaterów Westerplatte 42,Nie,Nie,,DANE OSOBOWE
315,220502_4.0001.12/52,12/52,Kartuzy - M,1,0.0621,Br-RIVb 0.0621,ul. Łąkowa 41,Nie,Nie,,DANE OSOBOWE
316,220502_4.0001.21,21,Kartuzy - M,1,0.0675,Br-RV 0.0675,ul. Podgórna 1,Nie,Nie,,DANE OSOBOWE
317,220502_4.0001.7/12,7/12,Kartuzy - M,1,0.0454,Br-RIVb 0.0454,ul. Łąkowa 63,Nie,Nie,,DANE OSOBOWE
318,220502_4.0001.137,137,Kartuzy - M,1,0.046,Br-RIVb 0.0460,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
319,220502_4.0001.12/5,12/5,Kartuzy - M,1,0.0827,Br-RIVb 0.0827,ul. Łąkowa,Nie,Nie,,DANE OSOBOWE
320,220502_4.0001.162,162,Kartuzy - M,1,0.0481,Br-RIVa 0.0481,ul. Bohaterów Westerplatte 2,Nie,Nie,,DANE OSOBOWE
321,220502_4.0001.7/3,7/3,Kartuzy - M,1,0.0461,Br-RIVa 0.0461,ul. Łąkowa 45,Nie,Nie,,DANE OSOBOWE
322,220502_4.0001.7/8,7/8,Kartuzy - M,1,0.0472,Br-RIVb 0.0472,ul. Łąkowa 55,Nie,Nie,,DANE OSOBOWE
323,220502_4.0001.12/32,12/32,Kartuzy - M,1,0.044,Br-RIVb 0.0440,ul. Łąkowa 12,Nie,Nie,,DANE OSOBOWE
324,220502_4.0001.84/2,84/2,Kartuzy - M,1,0.0712,Br-RIVb 0.0712,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
325,220502_4.0001.82/2,82/2,Kartuzy - M,1,0.097,Br-RIVa 0.0970,,Nie,Nie,,DANE OSOBOWE
326,220502_4.0001.12/13,12/13,Kartuzy - M,1,0.0438,Br-RIVb 0.0438,ul. Łąkowa 21,Nie,Nie,,DANE OSOBOWE
327,220502_4.0001.7/54,7/54,Kartuzy - M,1,0.0048,Br-RIVa 0.0048,,Nie,Nie,,DANE OSOBOWE
328,220502_4.0001.12/10,12/10,Kartuzy - M,1,0.0436,Br-RIVb 0.0436,ul. Łąkowa 15,Nie,Nie,,DANE OSOBOWE
329,220502_4.0001.12/38,12/38,Kartuzy - M,1,0.063,Br-RIVb 0.0630,ul. Łąkowa 24,Nie,Nie,,DANE OSOBOWE
330,220502_4.0001.12/59,12/59,Kartuzy - M,1,0.0566,Br-ŁV 0.0566,ul. Łąkowa 30A,Nie,Nie,,DANE OSOBOWE
331,220502_4.0001.41,41,Kartuzy - M,1,0.055,Br-PsV 0.0550,ul. Podgórna,Nie,Nie,,DANE OSOBOWE
332,220502_4.0001.169,169,Kartuzy - M,1,0.0403,Br-RIVb 0.0403,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
333,220502_4.0001.7/26,7/26,Kartuzy - M,1,0.0844,Br-RIVb 0.0844,ul. Łąkowa 52,Nie,Nie,,DANE OSOBOWE
334,220502_4.0001.123,123,Kartuzy - M,1,0.0564,Br-RIVb 0.0564,ul. Klasztorna 12,Nie,Nie,,DANE OSOBOWE
335,220502_4.0001.70/8,70/8,Kartuzy - M,1,0.0565,Br-RIVb 0.0565,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
336,220502_4.0001.12/51,12/51,Kartuzy - M,1,0.0623,Br-RIVb 0.0623,ul. Łąkowa 39,Nie,Nie,,DANE OSOBOWE
337,220502_4.0001.180,180,Kartuzy - M,1,0.0559,Br-PsIV 0.0559,ul. Obrońców Poczty Polskiej 10,Nie,Nie,,DANE OSOBOWE
338,220502_4.0001.18/1,18/1,Kartuzy - M,1,0.048,Br-RV 0.0480,ul. Wzgórze Wolności 20,Nie,Nie,,DANE OSOBOWE
339,220502_4.0001.7/27,7/27,Kartuzy - M,1,0.0602,Br-RIVb 0.0602,ul. Łąkowa,Nie,Nie,,DANE OSOBOWE
340,220502_4.0001.12/15,12/15,Kartuzy - M,1,0.0437,Br-RIVb 0.0437,ul. Łąkowa,Nie,Nie,,DANE OSOBOWE
341,220502_4.0001.12/81,12/81,Kartuzy - M,1,0.0445,Br-RIVb 0.0445,ul. Łąkowa 6,Nie,Nie,,DANE OSOBOWE
342,220502_4.0001.8/6,8/6,Kartuzy - M,1,0.0615,Br-RIVb 0.0615,ul. Łąkowa 77a,Nie,Nie,,DANE OSOBOWE
343,220502_4.0001.12/53,12/53,Kartuzy - M,1,0.0626,Br-RIVa 0.0626,ul. Łąkowa 43,Nie,Nie,,DANE OSOBOWE
344,220502_4.0001.12/54,12/54,Kartuzy - M,1,0.0634,Br-RIVa 0.0634,ul. Prokowska 25,Nie,Nie,,DANE OSOBOWE
345,220502_4.0001.48/2,48/2,Kartuzy - M,1,0.0324,Br-PsV 0.0324,ul. Podgórna,Nie,Nie,,DANE OSOBOWE
346,220502_4.0001.12/3,12/3,Kartuzy - M,1,0.0673,Br-RIVb 0.0673,ul. Łąkowa,Nie,Nie,,DANE OSOBOWE
347,220502_4.0001.192,192,Kartuzy - M,1,0.0401,Br-RIVb 0.0401,ul. Prokowska 24,Nie,Nie,,DANE OSOBOWE
348,220502_4.0001.87/6,87/6,Kartuzy - M,1,0.0613,Br-RIVb 0.0613,ul. Bohaterów Westerplatte 40,Nie,Nie,,DANE OSOBOWE
349,220502_4.0001.12/68,12/68,Kartuzy - M,1,0.086,Br-RIVb 0.0860,ul. Prokowska 19,Nie,Nie,,DANE OSOBOWE
350,220502_4.0001.30/2,30/2,Kartuzy - M,1,0.0428,Br-RIVb 0.0428,ul. Podgórna,Nie,Nie,,DANE OSOBOWE
351,220502_4.0001.193,193,Kartuzy - M,1,0.0453,Br-RIVb 0.0453,ul. Prokowska 24,Nie,Nie,,DANE OSOBOWE
352,220502_4.0001.94/2,94/2,Kartuzy - M,1,0.055,Br-RIVb 0.0550,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
353,220502_4.0001.7/18,7/18,Kartuzy - M,1,0.0521,Br-RIVb 0.0521,ul. Łąkowa,Nie,Nie,,DANE OSOBOWE
354,220502_4.0001.12/28,12/28,Kartuzy - M,1,0.0592,Br-RIVb 0.0592,ul. Łąkowa,Nie,Nie,,DANE OSOBOWE
355,220502_4.0001.181,181,Kartuzy - M,1,0.0417,Br-RIVb 0.0417,ul. Obrońców Poczty Polskiej 5,Nie,Nie,,DANE OSOBOWE
356,220502_4.0001.164,164,Kartuzy - M,1,0.0458,Br-RIVa 0.0240; Br-RIVb 0.0218,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
357,220502_4.0001.52,52,Kartuzy - M,1,0.0578,Br-PsV 0.0578,ul. Wzgórze Wolności 16,Nie,Nie,,DANE OSOBOWE
358,220502_4.0001.53,53,Kartuzy - M,1,0.0571,Br-PsV 0.0571,ul. Wzgórze Wolności 14,Nie,Nie,,DANE OSOBOWE
359,220502_4.0001.115,115,Kartuzy - M,1,0.0143,Br-RIVa 0.0143,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
360,220502_4.0001.12/6,12/6,Kartuzy - M,1,0.0454,Br-RIVb 0.0454,ul. Łąkowa,Nie,Nie,,DANE OSOBOWE
361,220502_4.0001.194,194,Kartuzy - M,1,0.0413,Br-RIVb 0.0413,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
362,220502_4.0001.24,24,Kartuzy - M,1,0.0547,Br-PsV 0.0547,ul. Podgórna,Nie,Nie,,DANE OSOBOWE
363,220502_4.0001.48/1,48/1,Kartuzy - M,1,0.0365,Br-PsV 0.0365,ul. Podgórna 2,Nie,Nie,,DANE OSOBOWE
364,220502_4.0001.7/29,7/29,Kartuzy - M,1,0.0782,Br-RIVb 0.0782,ul. Łąkowa 73,Nie,Nie,,DANE OSOBOWE
365,220502_4.0001.51/1,51/1,Kartuzy - M,1,0.0606,Br-PsV 0.0606,ul. Podgórna 2C,Nie,Nie,,DANE OSOBOWE
366,220502_4.0001.82/8,82/8,Kartuzy - M,1,0.0097,Br-RIVb 0.0097,,Nie,Nie,,DANE OSOBOWE
367,220502_4.0001.135/1,135/1,Kartuzy - M,1,0.0097,Br-RIVb 0.0097,,Nie,Nie,,DANE OSOBOWE
368,220502_4.0001.7/7,7/7,Kartuzy - M,1,0.0469,Br-RIVb 0.0469,ul. Łąkowa 53,Nie,Nie,,DANE OSOBOWE
369,220502_4.0001.12/64,12/64,Kartuzy - M,1,0.0643,Br-RIVa 0.0643,ul. Prokowska 23,Nie,Nie,,DANE OSOBOWE
370,220502_4.0001.12/65,12/65,Kartuzy - M,1,0.0624,Br-RIVb 0.0624,ul. Łąkowa 32B,Nie,Nie,,DANE OSOBOWE
371,220502_4.0001.12/61,12/61,Kartuzy - M,1,0.0579,Br-ŁV 0.0579,ul. Łąkowa 30B,Nie,Nie,,DANE OSOBOWE
372,220502_4.0001.62,62,Kartuzy - M,1,0.0589,Br-RIVb 0.0589,ul. Wzgórze Wolności 6A,Nie,Nie,,DANE OSOBOWE
373,220502_4.0001.95/3,95/3,Kartuzy - M,1,0.075,Br-RIVb 0.0750,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
374,220502_4.0001.67/4,67/4,Kartuzy - M,1,0.0466,Br-RIVb 0.0466,ul. Gdyńskich Kosynierów 5,Nie,Nie,,DANE OSOBOWE
375,220502_4.0001.32,32,Kartuzy - M,1,0.0705,Br-RIVb 0.0705,ul. Podgórna 19,Nie,Nie,,DANE OSOBOWE
376,220502_4.0001.26/1,26/1,Kartuzy - M,1,0.0302,Br-RIVb 0.0302,ul. Podgórna 11B,Nie,Nie,,DANE OSOBOWE
377,220502_4.0001.7/14,7/14,Kartuzy - M,1,0.067,Br-RIVb 0.0670,ul. Łąkowa,Nie,Nie,,DANE OSOBOWE
378,220502_4.0001.7/19,7/19,Kartuzy - M,1,0.0522,Br-RIVb 0.0522,ul. Łąkowa 38,Nie,Nie,,DANE OSOBOWE
379,220502_4.0001.185,185,Kartuzy - M,1,0.0463,Br-RIVb 0.0463,ul. Gdyńskich Kosynierów,Nie,Nie,,DANE OSOBOWE
380,220502_4.0001.7/6,7/6,Kartuzy - M,1,0.0469,Br-RIVb 0.0469,ul. Łąkowa 51,Nie,Nie,,DANE OSOBOWE
381,220502_4.0001.7/2,7/2,Kartuzy - M,1,0.0556,Br-RIVa 0.0556,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
382,220502_4.0001.159,159,Kartuzy - M,1,0.0527,Br-RIVa 0.0527,ul. Bohaterów Westerplatte 3,Nie,Nie,,DANE OSOBOWE
383,220502_4.0001.42,42,Kartuzy - M,1,0.0637,Br-PsV 0.0637,ul. Podgórna 12,Nie,Nie,,DANE OSOBOWE
384,220502_4.0001.99,99,Kartuzy - M,1,0.0776,Br-RIVa 0.0776,ul. Wzgórze Wolności 2,Nie,Nie,,DANE OSOBOWE
385,220502_4.0001.78/2,78/2,Kartuzy - M,1,0.08,Br-RIVb 0.0624; Br-PsVI 0.0176,ul. Krasickiego 4,Nie,Nie,,DANE OSOBOWE
386,220502_4.0001.12/14,12/14,Kartuzy - M,1,0.044,Br-RIVb 0.0440,ul. Łąkowa,Nie,Nie,,DANE OSOBOWE
387,220502_4.0001.112/6,112/6,Kartuzy - M,1,0.0628,Br-RIVb 0.0628,,Nie,Nie,,DANE OSOBOWE
388,220502_4.0001.127,127,Kartuzy - M,1,0.0677,Br-RIVb 0.0677,,Nie,Nie,,DANE OSOBOWE
389,220502_4.0001.160,160,Kartuzy - M,1,0.0439,Br-RIVa 0.0439,ul. Bohaterów Westerplatte 1,Nie,Nie,,DANE OSOBOWE
390,220502_4.0001.155,155,Kartuzy - M,1,0.062,Br-RIVb 0.0620,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
391,220502_4.0001.126,126,Kartuzy - M,1,0.09,Br-RIVb 0.09,ul. Klasztorna,Nie,Nie,,DANE OSOBOWE
392,220502_4.0001.12/78,12/78,Kartuzy - M,1,0.0289,Br-RIVb 0.0289,,Nie,Nie,,DANE OSOBOWE
393,220502_4.0001.7/23,7/23,Kartuzy - M,1,0.0528,Br-RIVb 0.0528,ul. Łąkowa 46,Nie,Nie,,DANE OSOBOWE
394,220502_4.0001.186,186,Kartuzy - M,1,0.0359,Br-RIVb 0.0359,ul. Gdyńskich Kosynierów,Nie,Nie,,DANE OSOBOWE
395,220502_4.0001.163,163,Kartuzy - M,1,0.0413,Br-RIVa 0.0413,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
396,220502_4.0001.12/66,12/66,Kartuzy - M,1,0.067,Br-RIVb 0.0670,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
397,220502_4.0001.72/1,72/1,Kartuzy - M,1,0.058,Br-RIVb 0.0580,ul. Obrońców Poczty Polskiej 8,Nie,Nie,,DANE OSOBOWE
398,220502_4.0001.12/9,12/9,Kartuzy - M,1,0.0437,Br-RIVb 0.0437,ul. Łąkowa 13,Nie,Nie,,DANE OSOBOWE
399,220502_4.0001.82/6,82/6,Kartuzy - M,1,0.0618,RIVb 0.0027; PsVI 0.0391; Br-RIVb 0.0200,ul. Bohaterów Westerplatte 52,Nie,Nie,,DANE OSOBOWE
400,220502_4.0001.12/34,12/34,Kartuzy - M,1,0.0424,Br-RIVb 0.0424,ul. Łąkowa 16,Nie,Nie,,DANE OSOBOWE
401,220502_4.0001.113/6,113/6,Kartuzy - M,1,0.0626,Br-RIVb 0.0626,,Nie,Nie,,DANE OSOBOWE
402,220502_4.0001.148/4,148/4,Kartuzy - M,1,0.0488,Br-RIVb 0.0488,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
403,220502_4.0001.15/14,15/14,Kartuzy - M,1,0.0222,Br-PsIV 0.0222,ul. Wzgórze Wolności 22,Nie,Nie,,DANE OSOBOWE
404,220502_4.0001.12/67,12/67,Kartuzy - M,1,0.0689,Br-RIVb 0.0689,ul. Łąkowa 32C,Nie,Nie,,DANE OSOBOWE
405,220502_4.0001.7/13,7/13,Kartuzy - M,1,0.0592,Br-RIVb 0.0592,ul. Łąkowa,Nie,Nie,,DANE OSOBOWE
406,220502_4.0001.7/25,7/25,Kartuzy - M,1,0.0708,Br-RIVb 0.0708,ul. Łąkowa 50,Nie,Nie,,DANE OSOBOWE
407,220502_4.0001.88/7,88/7,Kartuzy - M,1,0.0566,Br-RIVb 0.0566,ul. Bohaterów Westerplatte 36,Nie,Nie,,DANE OSOBOWE
408,220502_4.0001.7/10,7/10,Kartuzy - M,1,0.0466,Br-RIVb 0.0466,ul. Łąkowa 59,Nie,Nie,,DANE OSOBOWE
409,220502_4.0001.7/1,7/1,Kartuzy - M,1,0.0755,Br-RIVa 0.0755,ul. Prokowska 36,Nie,Nie,,DANE OSOBOWE
410,220502_4.0001.7/5,7/5,Kartuzy - M,1,0.0469,Br-RIVa 0.0469,ul. Łąkowa 49,Nie,Nie,,DANE OSOBOWE
411,220502_4.0001.12/7,12/7,Kartuzy - M,1,0.0436,Br-RIVb 0.0436,ul. Łąkowa,Nie,Nie,,DANE OSOBOWE
412,220502_4.0001.7/52,7/52,Kartuzy - M,1,0.0577,Br-RIVa 0.0577,ul. Prokowska 32,Nie,Nie,,DANE OSOBOWE
413,220502_4.0001.147,147,Kartuzy - M,1,0.072,Br-RIVb 0.0720,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
414,220502_4.0001.144,144,Kartuzy - M,1,0.0424,Br-RIVb 0.0424,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
415,220502_4.0001.12/57,12/57,Kartuzy - M,1,0.0561,Br-ŁV 0.0561,ul. Łąkowa 30,Nie,Nie,,DANE OSOBOWE
416,220502_4.0001.12/56,12/56,Kartuzy - M,1,0.0608,Br-ŁV 0.0608,ul. Łąkowa 28,Nie,Nie,,DANE OSOBOWE
417,220502_4.0001.176,176,Kartuzy - M,1,0.0404,Br-RIVb 0.0404,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
418,220502_4.0001.149,149,Kartuzy - M,1,0.0425,Br-RIVb 0.0425,ul. Bohaterów Westerplatte 19,Nie,Nie,,DANE OSOBOWE
419,220502_4.0001.94/3,94/3,Kartuzy - M,1,0.0742,Br-RIVb 0.0742,ul. Prokowska 6,Nie,Nie,,DANE OSOBOWE
