L.p.,Identyfikator,Nr działki,Jednostka ewidencyjna,Obręb,Powierzchnia ewidencyjna,Klasoużytki,Adres,Granica sporna?,Teren zamknięty?,Rejestr zabytków,Zmodyfikował(a)
481,220502_4.0001.197/7,197/7,Kartuzy - M,1,0.1008,B 0.1008,ul. Prokowska 40H,Nie,Nie,,DANE OSOBOWE
482,220502_4.0001.111/1,111/1,Kartuzy - M,1,0.0018,B 0.0018,ul. Bohaterów Westerplatte 34,Nie,Nie,,DANE OSOBOWE
483,220502_4.0001.139/2,139/2,Kartuzy - M,1,0.0155,RIVb 0.0155,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
484,220502_4.0001.12/80,12/80,Kartuzy - M,1,0.0182,B 0.0182,ul. Łąkowa 6A,Nie,Nie,,DANE OSOBOWE
485,220502_4.0001.128/3,128/3,Kartuzy - M,1,0.0039,dr 0.0039,ul. Klasztorna,Nie,Nie,,DANE OSOBOWE
486,220502_4.0001.78/8,78/8,Kartuzy - M,1,0.0772,B 0.0772,ul. Ignacego Krasickiego 2,Nie,Nie,,DANE OSOBOWE
487,220502_4.0001.142,142,Kartuzy - M,1,0.0421,B 0.0421,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
488,220502_4.0001.12/19,12/19,Kartuzy - M,1,0.0109,dr 0.0109,,Nie,Nie,,DANE OSOBOWE
489,220502_4.0001.75/3,75/3,Kartuzy - M,1,0.0783,B 0.0783,ul. Prokowska 15D,Nie,Nie,,DANE OSOBOWE
490,220502_4.0001.128/5,128/5,Kartuzy - M,1,0.0321,Bi 0.0321,ul. Klasztorna,Nie,Nie,,DANE OSOBOWE
491,220502_4.0001.128/7,128/7,Kartuzy - M,1,0.463,Bi 0.4630,ul. Klasztorna,Nie,Nie,,DANE OSOBOWE
492,220502_4.0001.16/5,16/5,Kartuzy - M,1,0.2463,dr 0.2463,ul. Wzgórze Wolności,Nie,Nie,,DANE OSOBOWE
493,220502_4.0001.130/7,130/7,Kartuzy - M,1,0.006,Tp 0.0060,ul. Wzgórze Wolności,Nie,Nie,,DANE OSOBOWE
494,220502_4.0001.130/8,130/8,Kartuzy - M,1,0.2359,Ti 0.2359,ul. Wzgórze Wolności,Nie,Nie,,DANE OSOBOWE
495,220502_4.0001.70/9,70/9,Kartuzy - M,1,0.0564,B 0.0564,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
496,220502_4.0001.70/14,70/14,Kartuzy - M,1,0.0058,dr 0.0058,,Nie,Nie,,DANE OSOBOWE
497,220502_4.0001.70/15,70/15,Kartuzy - M,1,0.0241,dr 0.0241,,Nie,Nie,,DANE OSOBOWE
498,220502_4.0001.197/8,197/8,Kartuzy - M,1,0.104,B 0.1040,ul. Prokowska 40I,Nie,Nie,,DANE OSOBOWE
499,220502_4.0001.128/8,128/8,Kartuzy - M,1,0.0066,Tp 0.0066,ul. Klasztorna,Nie,Nie,,DANE OSOBOWE
500,220502_4.0001.128/9,128/9,Kartuzy - M,1,0.0753,dr 0.0753,ul. Klasztorna,Nie,Nie,,DANE OSOBOWE
